Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
44	-50.311478	18.337427	-28.75597	-90.04343	27.0	-38.275394	1.0409262	-33.061794	-38.484222	27000	1.6887983e-08	479.41678	-0.036571033	-9.300751	1.8531278	0.008734245	0.18166667	79.0	29.13123631477356
45	-44.90333	19.06724	-22.874743	-107.08931	26.954546	-38.669563	1.0406106	-33.45757	-38.878532	27600	2.5431316e-08	408.09525	-0.02734557	-2.900055	1.7996857	0.015378386	0.17666666	55.0	29.74662446975708
46	-88.65905	172.17746	-18.525333	-886.4	25.782608	-38.896805	1.0603145	-33.70245	-39.114437	28200	-2.0662943e-08	2167.931	-0.023510413	-15.235107	1.8718396	0.0045337556	0.20833333	79.0	30.3739013671875
47	-39.07387	12.914572	-23.373758	-63.570984	26.863636	-39.40952	1.0170372	-34.31559	-39.6137	28800	-1.4702479e-08	165.47208	-0.031169113	0.025527954	1.7473291	0.011453622	0.225	79.0	31.00198245048523
48	-49.758102	20.961092	-25.229696	-95.74008	27.0	-39.455887	1.0109794	-34.39228	-39.65872	29400	-3.8544336e-08	544.92426	-0.016600426	-7.128418	1.7681456	0.016242456	0.068333335	11.0	31.54700517654419
49	-39.5897	15.220535	-20.859297	-89.15891	26.727272	-39.80959	1.0098566	-34.751606	-40.01219	30000	1.5497207e-08	229.07484	-0.019929115	0.012557983	1.7223366	0.016420905	0.15833333	22.0	32.07988929748535
50	-77.23986	172.92514	-20.813055	-886.4	25.782608	-39.834446	1.0269749	-34.80339	-40.04507	30600	3.1789145e-09	1356.719	-0.014970366	-0.7307129	1.759846	0.004921893	0.19333333	79.0	32.96736407279968
51	-47.268726	17.831152	-21.435951	-87.33229	26.863636	-39.914783	0.97849447	-35.013885	-40.111084	31200	4.0133795e-08	367.49918	-0.029872624	-4.1472473	1.805018	0.017118579	0.23833333	17.0	33.520204305648804
52	-37.685093	12.066689	-20.416157	-60.010735	26.90909	-40.206673	0.9737226	-35.329666	-40.40199	31800	-1.013279e-08	150.10788	-0.006839389	-0.35765076	1.7737521	0.015656315	0.1	3.0	34.04916858673096
53	-41.3424	18.563131	-21.70068	-81.43616	27.0	-40.13731	0.96928585	-35.282528	-40.33173	32400	2.8610229e-08	345.11362	-0.013916357	-0.110687256	1.8373863	0.020673	0.15166667	7.0	34.587618827819824
54	-45.327396	22.23894	-19.850798	-117.58085	27.0	-40.178497	0.96563196	-35.34201	-40.37213	33000	-3.3477942e-08	526.4559	-0.018296842	-2.4031372	1.8463485	0.01794276	0.1	8.0	35.09032464027405
55	-37.530224	12.541133	-21.916607	-74.423485	26.863636	-40.414185	0.96325964	-35.589596	-40.607494	33600	7.947286e-10	165.07675	-0.028761648	-0.5917969	1.8222965	0.0093486495	0.14333333	79.0	35.70041108131409
56	-39.0593	14.05158	-23.401941	-80.00779	26.772728	-40.31058	0.9582594	-35.51104	-40.502888	34200	3.5762786e-09	192.89601	-0.018633796	-0.23554993	1.8040121	0.015403212	0.18833333	8.0	36.2255437374115
57	-35.004894	11.666531	-18.20652	-72.2671	27.045454	-40.22714	0.95311105	-35.45343	-40.418728	34800	-9.934108e-09	164.41325	-0.018671293	-2.5966644	1.826289	0.017901264	0.185	19.0	36.78366255760193
58	-35.50472	9.90277	-21.58488	-58.12237	26.818182	-39.9668	0.9468422	-35.22442	-40.156647	35400	-2.8610229e-08	117.162186	-0.018448995	-2.242813	1.826737	0.020682322	0.2	10.0	37.33170223236084
59	-33.988083	10.941121	-20.289736	-66.100174	26.954546	-39.70715	0.940262	-34.99776	-39.89591	36000	3.2981237e-08	152.53839	-0.02444331	-3.6322784	1.8603764	0.017007245	0.175	12.0	37.845643043518066
60	-73.93811	173.54263	-20.455933	-886.4	25.956522	-39.368633	0.9522908	-34.703453	-39.563984	36600	4.7683715e-09	1332.9628	-0.013057655	-0.7310791	1.8228971	0.0017336913	0.15166667	79.0	38.7802038192749
61	-39.367126	13.221918	-21.333435	-83.15714	27.045454	-39.288074	0.89659005	-34.797436	-39.468178	37200	2.8610229e-08	177.13971	-0.03382923	-0.015258789	1.7334802	0.009616081	0.18	79.0	39.44152355194092
62	-36.83131	11.569908	-19.279163	-70.47437	26.772728	-39.291172	0.8884727	-34.841167	-39.46949	37800	-4.371007e-09	137.12805	-0.027053231	-0.7650604	1.5691192	0.0011432803	0.15	79.0	40.11803436279297
63	-102.70931	236.41644	-18.642263	-886.4	24.75	-39.123035	0.9186687	-34.71731	-39.315426	38400	-7.947286e-09	2541.148	-0.013716157	-4.998047	1.5545217	0.00836964	0.055	79.0	40.83200001716614
64	-31.933466	8.436165	-20.467403	-47.559074	27.0	-38.81531	0.8150056	-34.733253	-38.978737	39000	1.9967556e-08	118.428375	-0.03569849	-6.3553314	1.6830605	0.0034444006	0.18	79.0	41.54402995109558
65	-34.49095	12.122989	-20.247051	-65.90532	27.181818	-38.33413	0.7997955	-34.328243	-38.494465	39600	-2.0662943e-08	162.18738	-0.03819352	-2.2031555	1.7293874	0.0074286023	0.24833333	79.0	42.268789529800415
66	-31.488884	9.996231	-19.781097	-60.851532	26.90909	-38.027733	0.7933083	-34.05441	-38.18718	40200	2.2550424e-08	142.31992	-0.02949919	-6.0509033	1.6704065	0.013020205	0.17833333	79.0	42.98477005958557
67	-30.48111	6.7282705	-19.397106	-45.633595	27.0	-37.542755	0.7850615	-33.61071	-37.700413	40800	-9.417534e-08	94.69284	-0.018303785	-7.533676	1.7345736	0.016918655	0.16166666	11.0	43.59297204017639
68	-33.25035	10.068078	-19.777714	-52.231514	27.045454	-36.97999	0.7758469	-33.09412	-37.135963	41400	5.165736e-08	115.15139	-0.027702227	-2.3696594	1.6959273	0.01460873	0.24333334	23.0	44.05907487869263
69	-30.625702	6.74313	-19.67744	-45.11036	27.0	-36.64257	0.7687813	-32.79207	-36.796986	42000	-4.3908756e-08	81.511375	-0.030239651	-5.7397995	1.7194363	0.0031095145	0.17333333	79.0	44.6129674911499
70	-68.50977	174.51433	-22.611395	-886.4	25.782608	-36.134228	0.77556217	-32.33483	-36.29335	42600	-2.8610229e-08	1289.3062	-0.010472141	-2.743164	1.70657	0.0030913572	0.051666666	79.0	45.482670545578
71	-72.842964	178.24458	-19.62106	-886.4	26.09091	-35.804695	0.72210944	-32.18797	-35.949818	43200	9.536743e-09	1481.4951	-0.017614163	-0.54870605	1.7462915	0.00401737	0.18333334	79.0	46.14644193649292
72	-28.42663	7.793988	-20.187326	-51.680428	26.954546	-35.771275	0.6864517	-32.33312	-35.909115	43800	-3.1789145e-09	113.958984	-0.030847875	-8.984177	1.6087657	0.00012457054	0.13166666	79.0	46.80199670791626
